Twitter ID,Removal observed,Reversal observed,Reason
335525056,1784297539,,Deactivated
339672742,1784297539,,Deactivated
343577508,1784272494,,Unverified
345178332,1784272494,,Unverified
347955725,1784272494,,Unverified
348021050,1784272494,,Unverified
351046695,1784272494,,Unverified
362662282,1784297539,,Deactivated
364461517,1784272494,,Unverified
365614565,1784272494,,Unverified
365945694,1784272494,,Unverified
370854566,1784297539,,Deactivated
374393880,1784272557,,Unverified
376819015,1784272557,,Unverified
380828356,1784272557,,Unverified
384733322,1784272557,,Unverified
395219189,1784297539,,Deactivated
399830887,1784297539,,Deactivated
402272026,1784272557,,Unverified
405431301,1784272557,,Unverified
407098018,1784272557,,Unverified
410600771,1784272557,,Unverified
415212065,1784272557,,Unverified
418838563,1784297539,,Suspended
424822937,1784297539,,Deactivated
425167544,1784297539,,Deactivated
442575131,1784272619,,Unverified
446879290,1784272619,,Unverified
461762728,1784272619,,Unverified
467739426,1784272619,,Unverified
468760773,1784297539,,Deactivated
475795236,1784297539,,Deactivated
480403547,1784272619,,Unverified
495328039,1784272619,,Unverified
499306046,1784297539,,Deactivated
510164714,1784272619,,Unverified
523331076,1784297539,,Deactivated
537555179,1784272682,,Unverified
541763423,1784272682,,Unverified
560816005,1771138048,,Unverified
561447826,1784272682,,Unverified
562768872,1784272682,,Unverified
572349329,1784272682,,Unverified
573322930,1784272682,,Unverified
577897347,1784272682,,Unverified
589708363,1784272682,,Unverified
598948418,1784272744,,Unverified
606374288,1784272744,,Unverified
615812599,1784272744,,Unverified
617939527,1784272744,,Unverified
618362387,1784272744,,Unverified
745229455,1771138048,,Deactivated
750791102,1784272744,,Unverified
769173776,1784272744,,Unverified
812951330,1784272807,,Unverified
815503969,1784272807,,Unverified
821692297,1784272807,,Unverified
844193017,1784297539,,Deactivated
856148305,1784297539,,Deactivated
865193588,1784272807,,Unverified
871358839,1784272807,,Unverified
876208159,1784297539,,Deactivated
879153462,1784272807,,Unverified
889180130,1784272807,,Unverified
890116165,1784272807,,Unverified
903338594,1784272807,,Unverified
942156122,1784272807,,Unverified
958751048,1784272807,,Unverified
960847880,1784297539,,Deactivated
1020586868,1784272869,,Unverified
1032330366,1784272869,,Unverified
1049921888,1784297539,,Deactivated
1053557172,1784272869,,Unverified
1060370282,1784272869,,Unverified
1077286777,1784272869,,Unverified
1081881492,1784272869,,Unverified
1088393834,1784272869,,Unverified
1105782542,1784272869,,Unverified
1109421360,1784272869,,Unverified
1226685006,1784272932,,Unverified
1229912053,1784272932,,Unverified
1243265606,1784272932,,Unverified
1260867974,1784272932,,Unverified
1260881118,1784272932,,Unverified
1286727673,1784297539,,Deactivated
1302037592,1784272932,,Unverified
1312906808,1784272932,,Unverified
1343905669,1784272932,,Unverified
1365801960,1784297539,,Deactivated
1393721634,1784272932,,Unverified
1409223888,1784272932,,Unverified
1418547937,1784272932,,Unverified
1446603145,1784272932,,Unverified
1474736472,1784272994,,Unverified
1482535734,1784272994,,Unverified
1495574077,1784272994,,Unverified
1521843800,1784272994,,Unverified
1545607255,1784272994,,Unverified
1547169860,1784272994,,Unverified
1547902129,1784297539,,Deactivated
1551580638,1784297539,,Deactivated
1601858268,1784297539,,Deactivated
1623608509,1784297539,,Deactivated
1870730869,1784273057,,Unverified
1872821635,1784273057,,Unverified
1884607476,1784273057,,Unverified
1895141923,1784273057,,Unverified
1908167676,1784297539,,Deactivated
1911471896,1784297539,,Deactivated
1911869612,1784297539,,Deactivated
1940241985,1784273057,,Unverified
1947467544,1784297539,,Deactivated
1967216306,1784273057,,Unverified
1978892694,1784273057,,Unverified
2152953810,1784297539,,Deactivated
2157820581,1784297539,,Deactivated
2214447931,1784273057,,Unverified
2262591259,1784273120,,Unverified
2270585509,1784273120,,Unverified
2321021869,1784273120,,Unverified
2371024465,1784273120,,Unverified
2371672316,1784273120,,Unverified
2397006729,1784297539,,Deactivated
2421039782,1784297539,,Deactivated
2426217830,1784273182,,Unverified
2439084283,1784273182,,Unverified
2459904061,1771138048,1784271805,Deactivated
2559994143,1784297539,,Deactivated
2562509436,1784273245,,Unverified
2599249849,1784297539,,Deactivated
2753262374,1784297539,,Deactivated
2767724844,1784273245,,Unverified
2789564954,1784297539,,Deactivated
2795498694,1784273245,,Unverified
2795941059,1784273245,,Unverified
2796946685,1784273245,,Unverified
2799983923,1784273245,,Unverified
2831409332,1784273307,,Unverified
2841244444,1784273307,,Unverified
2846625063,1784297539,,Deactivated
2868127063,1784273307,,Unverified
2899953817,1784273307,,Unverified
2903872024,1784273307,,Unverified
2910868802,1784273307,,Unverified
2918207822,1784273307,,Unverified
2981578354,1784273370,,Unverified
2997418453,1784273370,,Unverified
3015139035,1784273370,,Unverified
3016064940,1784273370,,Unverified
3016179829,1784273370,,Unverified
3053719045,1784273370,,Unverified
3119167484,1784273370,,Unverified
3131513770,1784273370,,Unverified
3143090312,1784273370,,Unverified
3214288401,1784273432,,Unverified
3289800119,1784273432,,Unverified
3311550962,1784273432,,Unverified
3319284337,1784273432,,Unverified
3319350172,1784297539,,Deactivated
3322248487,1784273432,,Unverified
3433322913,1784273495,,Unverified
3439152657,1784297539,,Deactivated
3451032734,1784273495,,Unverified
3843399615,1771138049,,Deactivated
4011944531,1784297539,,Deactivated
4161868503,1784273495,,Unverified
4504696038,1784273557,,Unverified
4603777982,1784273557,,Unverified
4857028298,1784297539,,Deactivated
4912519991,1784297539,,Deactivated
4913471053,1784273557,,Unverified
694943148183670784,1784273557,,Unverified
704667569765163020,1784273557,,Unverified
714056645979013121,1784273620,,Unverified
718411807996702720,1784273620,,Unverified
720999142986792961,1784273620,,Unverified
728654121205641216,1771138049,,Deactivated
730418762222968832,1784273620,,Unverified
733235803208306689,1784273682,,Unverified
737583593245937664,1784297539,,Deactivated
742074266741510145,1784273682,,Unverified
745198763552145409,1784273682,,Unverified
754130997730422784,1784273682,,Unverified
758054407158325248,1784273682,,Unverified
777385000119533569,1784273744,,Unverified
786570426696675328,1784273744,,Unverified
788885276374380544,1784273744,,Unverified
793064208296452096,1784273807,,Unverified
800983231004753920,1784273807,,Unverified
803520900012404736,1784273807,,Unverified
804943991481372672,1784273807,,Unverified
811239440916054016,1784273807,,Unverified
812960114202345472,1784273807,,Unverified
814588152446906373,1784273807,,Unverified
816871506751922177,1784273807,,Unverified
818934414428213248,1784273807,,Unverified
822240750565871616,1784297539,,Deactivated
828618838937710592,1784273870,,Unverified
833866550906068992,1784273870,,Unverified
855535751437725696,1784273932,,Unverified
860509927995056128,1784297539,,Deactivated
860512885700796416,1784297539,,Deactivated
861707648584085504,1784297539,,Deactivated
862987416520593413,1784297539,,Deactivated
864250661533343747,1784297539,,Deactivated
876414842998931456,1784273994,,Unverified
879361782585982976,1784297539,,Deactivated
884483906375954434,1771138049,,Deactivated
894816050205794304,1784273994,,Unverified
905091067049017345,1784274056,,Unverified
913308968809672705,1784274056,,Unverified
914844025944805376,1784274056,,Unverified
915219693681741824,1784274056,,Unverified
915831040471556096,1784274056,,Unverified
916089913161900032,1784274056,,Unverified
917639918200823810,1784274056,,Unverified
919026906753769472,1784274056,,Unverified
919863125947580416,1784274056,,Unverified
929919606512332801,1784274119,,Unverified
934688422727430144,1784274119,,Unverified
936272180576440320,1784274119,,Unverified
936290897326759936,1784274119,,Unverified
936297326552993794,1784274119,,Unverified
936361448355323904,1784274119,,Unverified
937009387813720065,1784274119,,Unverified
940609192527843328,1784297539,,Deactivated
943056706644320256,1784274119,,Unverified
945921787644260352,1784274119,,Unverified
949556455597920256,1784274119,,Unverified
954012250053820416,1784297539,,Deactivated
956611811666776064,1784274119,,Unverified
957960163440365568,1784274119,,Unverified
958044239576948736,1784274119,,Unverified
960433527064952832,1784274181,,Unverified
971232611543715841,1784274181,,Unverified
974233724224200704,1784297539,,Deactivated
975179529026117632,1784274181,,Unverified
979067959686651907,1784274181,,Unverified
988415383441944581,1784274181,,Unverified
1006888339029594112,1784297539,,Deactivated
1014516067870355458,1784297539,,Deactivated
1017358456737681408,1784297539,,Suspended
1017493388638281730,1784274243,,Unverified
1024775069619433477,1784274305,,Unverified
1048117513161072640,1784274305,,Unverified
1054748807873753088,1784274368,,Unverified
1063252864213110784,1784274368,,Unverified
1068056489871515649,1784274368,,Unverified
1068058445428023296,1784274368,,Unverified
1068059835340648448,1784274368,,Unverified
1072488375486242816,1784274368,,Unverified
1072552749630246912,1784274368,,Unverified
1080238248385859584,1784274430,,Unverified
1080477288955826176,1784274430,,Unverified
1090224356133871616,1784297539,,Deactivated
1108225083120762880,1784297539,,Deactivated
1110525607601995781,1784274493,,Unverified
1113714716025741312,1784274493,,Unverified
1119952891756912641,1784274493,,Unverified
1121721934813782020,1784274493,,Unverified
1123131381905874949,1784274493,,Unverified
1124244087815790592,1784274493,,Unverified
1125785675465404416,1784274493,,Unverified
1126025025809788928,1784274493,,Unverified
1126706905307439107,1784274493,,Unverified
1126766011250724864,1784274493,,Unverified
1129584701277069313,1784274493,,Unverified
1131796278617100288,1784274493,,Unverified
1136306109944422400,1784297539,,Deactivated
1136309025358917633,1784297539,,Deactivated
1142016088676294658,1784274555,,Unverified
1142673750984257536,1784274555,,Unverified
1143663601451843584,1784274555,,Unverified
1146107423511461890,1784297539,,Deactivated
1158389772920020993,1784297539,,Deactivated
1168774866667016192,1784274617,,Unverified
1171708459315802112,1784297539,,Suspended
1178342759025000450,1784274617,,Unverified
1181912333553004544,1784297539,,Deactivated
1183695482138349568,1784274617,,Unverified
1183980515553972224,1784274617,,Unverified
1184181440533192711,1784274617,,Unverified
1184737771266760705,1784274617,,Unverified
1189267109974609920,1784297539,,Deactivated
1194701678202761217,1784274679,,Unverified
1196239012022738944,1784274679,,Unverified
